AÑO,CAMPO_SIH,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
2010,ABKATUN,1P,5434.974429,3879.342787
2010,ABKATUN,2P,5445.607921,3885.136658
2010,ABKATUN,3P,5445.607921,3885.136658
2010,ACACHU,1P,0.0,27.603686
2010,ACACHU,2P,0.0,27.603686
2010,ACACHU,3P,0.0,27.603686
2010,ACAGUAL,1P,0.0,12.392154
2010,ACAGUAL,2P,0.0,12.392154
2010,ACAGUAL,3P,0.0,12.392154
2010,ACAHUAL,1P,0.0,6.354053
2010,ACAHUAL,2P,0.0,6.354053
2010,ACAHUAL,3P,0.0,6.354053
2010,ACUATEMPA,1P,101.725835,74.853077
2010,ACUATEMPA,2P,101.725835,74.853077
2010,ACUATEMPA,3P,101.725835,79.184948
2010,ACUYO,1P,1.490815,51.048468
2010,ACUYO,2P,10.863868,51.048468
2010,ACUYO,3P,10.863868,51.048468
2010,ADOLFO LOPEZ MATEOS,1P,1.192004,0.200778
2010,ADOLFO LOPEZ MATEOS,2P,1.192004,0.200778
2010,ADOLFO LOPEZ MATEOS,3P,1.192004,0.200778
2010,AGAMI,1P,0.0,1.037794
2010,AGAMI,2P,0.0,1.037794
2010,AGAMI,3P,0.0,1.037794
2010,AGATA,1P,31.99943,49.748002
2010,AGATA,2P,31.99943,49.748002
2010,AGATA,3P,31.99943,49.748002
2010,AGAVE,1P,254.531655,2298.958885
2010,AGAVE,2P,258.025212,2301.816201
2010,AGAVE,3P,258.025212,2301.816201
2010,AGUA BLANCA,1P,0.0,0.003598
2010,AGUA BLANCA,2P,0.0,0.003598
2010,AGUA BLANCA,3P,0.0,0.003598
2010,AGUA FRIA,1P,2565.844277,769.753283
2010,AGUA FRIA,2P,5099.308802,1529.79264
2010,AGUA FRIA,3P,5373.876513,1612.162953
2010,AGUA NACIDA,1P,47.351543,23.675772
2010,AGUA NACIDA,2P,1713.107396,856.553698
2010,AGUA NACIDA,3P,2786.294179,1393.147089
2010,AGUACATE,1P,30.862409,11.609729
2010,AGUACATE,2P,30.862409,11.609729
2010,AGUACATE,3P,30.862409,11.609729
2010,AHUATEPEC,1P,65.05738,19.517214
2010,AHUATEPEC,2P,2554.049469,766.214841
2010,AHUATEPEC,3P,4232.374642,1269.712393
2010,AKAL,1P,30556.26775,14724.90518
2010,AKAL,2P,30556.26775,14724.90518
2010,AKAL,3P,30556.26775,14724.90518
2010,AKPUL,1P,0.0,40.859604
2010,AKPUL,2P,0.0,126.494198
2010,AKPUL,3P,0.0,273.037383
2010,ALAK,1P,0.0,0.0
2010,ALAK,2P,260.567208,87.778563
2010,ALAK,3P,260.567208,87.778563
2010,ALAMEDA,1P,0.0,0.0
2010,ALAMEDA,2P,0.0,0.0
2010,ALAMEDA,3P,21.807417,21.146486
2010,ALAMO SAN ISIDRO,1P,173.496299,81.050032
2010,ALAMO SAN ISIDRO,2P,173.496299,81.050032
2010,ALAMO SAN ISIDRO,3P,175.738307,82.913047
2010,ALAZAN,1P,66.315097,39.467147
2010,ALAZAN,2P,66.315097,39.467147
2010,ALAZAN,3P,66.315097,39.467147
2010,ALCARAVAN,1P,0.0,0.238332
2010,ALCARAVAN,2P,0.0,0.238332
2010,ALCARAVAN,3P,0.0,0.238332
2010,ALGODONERO,1P,0.0,1.995571
2010,ALGODONERO,2P,0.0,1.995571
2010,ALGODONERO,3P,0.0,52.487189
2010,ALJIBE,1P,0.0,5.081809
2010,ALJIBE,2P,0.0,5.081809
2010,ALJIBE,3P,0.0,5.081809
2010,ALMENDRO,1P,0.0,31.360319
2010,ALMENDRO,2P,0.0,40.121675
2010,ALMENDRO,3P,0.0,40.121675
2010,ALONDRA,1P,0.0,208.78103
2010,ALONDRA,2P,0.0,215.786887
2010,ALONDRA,3P,0.0,249.518792
2010,ALTAMIRA,1P,103.192476,103.192476
2010,ALTAMIRA,2P,103.192476,103.192476
2010,ALTAMIRA,3P,103.192476,103.192476
2010,ALUX,1P,172.012379,56.936097
2010,ALUX,2P,245.939749,81.406056
2010,ALUX,3P,263.193141,87.116929
2010,AMATISTA,1P,0.0,1.232264
2010,AMATISTA,2P,0.0,1.232264
2010,AMATISTA,3P,0.0,1.232264
2010,AMATITLAN,1P,230.498489,115.249244
2010,AMATITLAN,2P,3184.23589,1592.117945
2010,AMATITLAN,3P,5509.87858,2754.93929
2010,AMBOS,1P,0.0,5.861026
2010,AMBOS,2P,0.0,5.861026
2010,AMBOS,3P,0.0,14.441676
2010,AMOCA,1P,168.694244,64.595475
2010,AMOCA,2P,199.572207,76.194992
2010,AMOCA,3P,433.224636,166.605552
2010,ANAHUAC,1P,0.0,0.0
2010,ANAHUAC,2P,0.0,0.0
2010,ANAHUAC,3P,0.0,4.39952
2010,ANGOSTURA,1P,302.347921,8.140785
2010,ANGOSTURA,2P,302.347921,8.140785
2010,ANGOSTURA,3P,302.347921,8.140785
2010,ANONA,1P,0.0,3.70236
2010,ANONA,2P,0.0,17.195088
2010,ANONA,3P,0.0,23.048213
2010,ANTIGUO,1P,0.0,12.343698
2010,ANTIGUO,2P,0.0,14.812438
2010,ANTIGUO,3P,0.0,17.281178
2010,APERTURA,1P,0.0,378.015041
2010,APERTURA,2P,0.0,378.015041
2010,APERTURA,3P,0.0,378.015041
2010,AQUILES,1P,0.0,2.010313
2010,AQUILES,2P,0.0,2.010313
2010,AQUILES,3P,0.0,2.010313
2010,ARABE,1P,0.0,24.607724
2010,ARABE,2P,0.0,27.408603
2010,ARABE,3P,0.0,34.55287
2010,ARAGON,1P,349.870958,118.606255
2010,ARAGON,2P,2481.633734,841.273836
2010,ARAGON,3P,3350.460871,1135.806235
2010,ARAL,1P,0.0,15.90096
2010,ARAL,2P,0.0,15.90096
2010,ARAL,3P,0.0,15.90096
2010,ARCABUZ,1P,0.0,655.612985
2010,ARCABUZ,2P,0.0,730.594325
2010,ARCABUZ,3P,0.0,785.605951
2010,ARCOS,1P,0.0,749.692981
2010,ARCOS,2P,0.0,878.65434
2010,ARCOS,3P,0.0,956.853932
2010,ARENQUE,1P,1169.308757,1306.478454
2010,ARENQUE,2P,1196.481925,1333.651622
2010,ARENQUE,3P,1310.94266,1466.658987
2010,ARIS,1P,0.0,28.015066
2010,ARIS,2P,0.0,28.015066
2010,ARIS,3P,0.0,28.015066
2010,ARQUIMIA,1P,0.0,326.201074
2010,ARQUIMIA,2P,0.0,326.201074
2010,ARQUIMIA,3P,0.0,326.201074
2010,ARRECIFE MEDIO,1P,2.356834,2.13507
2010,ARRECIFE MEDIO,2P,2.356834,2.13507
2010,ARRECIFE MEDIO,3P,2.356834,2.13507
2010,ARROYO BLANCO,1P,19.128392,16.3257
2010,ARROYO BLANCO,2P,19.128392,16.3257
2010,ARROYO BLANCO,3P,19.128392,16.3257
2010,ARROYO PRIETO,1P,17.640132,49.04044
2010,ARROYO PRIETO,2P,17.640132,49.04044
2010,ARROYO PRIETO,3P,17.640192,49.04044
2010,ARROYO VIEJO,1P,1.699527,0.537594
2010,ARROYO VIEJO,2P,1.699527,0.537594
2010,ARROYO VIEJO,3P,1.699527,0.537594
2010,ARROYO ZANAPA,1P,64.036276,173.238566
2010,ARROYO ZANAPA,2P,64.036276,173.238566
2010,ARROYO ZANAPA,3P,64.036276,173.238566
2010,ARTESA,1P,228.147152,229.187865
2010,ARTESA,2P,228.147152,229.187865
2010,ARTESA,3P,228.147152,229.187865
2010,ARTIMON,1P,0.0,9.434661
2010,ARTIMON,2P,0.0,24.530119
2010,ARTIMON,3P,0.0,37.738644
2010,ATAJO,1P,0.0,0.0
2010,ATAJO,2P,0.0,0.0
2010,ATAJO,3P,0.0,2.347013
2010,ATLAPEXCO,1P,0.149754,0.048515
2010,ATLAPEXCO,2P,0.149754,0.048515
2010,ATLAPEXCO,3P,0.149754,0.048515
2010,ATUN,1P,315.310542,847.471082
2010,ATUN,2P,327.182845,861.869215
2010,ATUN,3P,329.519152,864.70257
2010,AVENTURERO,1P,0.0,1.049829
2010,AVENTURERO,2P,0.0,1.049829
2010,AVENTURERO,3P,0.0,1.049829
2010,AXON,1P,0.0,3.244679
2010,AXON,2P,0.0,3.244679
2010,AXON,3P,0.0,18.316734
2010,AYAPA,1P,27.642047,13.344328
2010,AYAPA,2P,27.642047,13.344328
2010,AYAPA,3P,27.642047,13.344328
2010,AYATSIL,1P,2989.320238,310.500693
2010,AYATSIL,2P,2989.320238,310.500693
2010,AYATSIL,3P,3171.528483,329.426663
2010,AYIN,1P,267.181225,62.815633
2010,AYIN,2P,549.069663,129.097036
2010,AYIN,3P,867.963801,204.256501
2010,AZABACHE,1P,0.0,0.440196
2010,AZABACHE,2P,0.0,0.440196
2010,AZABACHE,3P,0.0,0.440196
2010,AZOR,1P,0.0,33.14253
2010,AZOR,2P,0.0,38.128121
2010,AZOR,3P,0.0,43.547061
2010,AZUCAR,1P,0.0,2.811365
2010,AZUCAR,2P,0.0,6.269407
2010,AZUCAR,3P,0.0,10.245428
2010,BACAB,1P,303.771194,90.769026
2010,BACAB,2P,710.870158,221.05177
2010,BACAB,3P,765.694663,238.597103
2010,BACAL,1P,230.207854,291.835309
2010,BACAL,2P,230.207854,291.835309
2010,BACAL,3P,230.207854,291.835309
2010,BAGRE,1P,210.034011,315.168836
2010,BAGRE,2P,210.034011,315.168836
2010,BAGRE,3P,216.614401,323.296934
2010,BAKSHA,1P,373.029058,51.336259
2010,BAKSHA,2P,449.549759,61.867038
2010,BAKSHA,3P,449.549759,61.867038
2010,BALAM,1P,805.433618,209.372672
2010,BALAM,2P,925.412676,219.378925
2010,BALAM,3P,1209.362839,243.060369
2010,BARAJAS,1P,0.0,7.531173
2010,BARAJAS,2P,0.0,7.531173
2010,BARAJAS,3P,0.0,7.531173
2010,BARCODON,1P,165.486589,27.020052
2010,BARCODON,2P,165.486589,27.020052
2010,BARCODON,3P,165.486589,27.020052
2010,BARRILETE,1P,0.0,5.813375
2010,BARRILETE,2P,0.0,8.665143
2010,BARRILETE,3P,0.0,16.617559
2010,BARUNDA,1P,0.0,8.549055
2010,BARUNDA,2P,0.0,12.916603
2010,BARUNDA,3P,0.0,19.800142
2010,BATAB,1P,281.448307,175.844659
2010,BATAB,2P,281.448307,175.844659
2010,BATAB,3P,281.448307,175.844659
2010,BATO,1P,0.0,14.642882
2010,BATO,2P,0.0,28.397303
2010,BATO,3P,0.0,61.786226
2010,BAYO,1P,0.0,29.42642
2010,BAYO,2P,0.0,33.035321
2010,BAYO,3P,0.0,36.403201
2010,BEJUCO,1P,1.089067,2.500336
2010,BEJUCO,2P,1.089067,2.500336
2010,BEJUCO,3P,1.089067,2.500336
2010,BELLOTA,1P,534.690751,875.217787
2010,BELLOTA,2P,534.690751,875.217787
2010,BELLOTA,3P,534.690751,875.217787
2010,BENAVIDES,1P,0.0,174.594905
2010,BENAVIDES,2P,0.0,182.660583
2010,BENAVIDES,3P,0.0,198.79194
2010,BITZAL,1P,0.0,15.978098
2010,BITZAL,2P,0.0,21.969562
2010,BITZAL,3P,0.0,21.969562
2010,BLANQUITA,1P,0.0,1.167741
2010,BLANQUITA,2P,0.0,1.167741
2010,BLANQUITA,3P,0.0,1.167741
2010,BLASILLO,1P,299.079398,259.19787
2010,BLASILLO,2P,299.079398,259.19787
2010,BLASILLO,3P,299.079398,259.19787
2010,BOCA DE LIMA,1P,2.072911,0.558649
2010,BOCA DE LIMA,2P,2.072911,0.558649
2010,BOCA DE LIMA,3P,2.072911,0.558649
2010,BOCA DEL TORO,1P,0.0,2.712648
2010,BOCA DEL TORO,2P,0.0,2.712648
2010,BOCA DEL TORO,3P,0.0,2.712648
2010,BOLONTIKU,1P,581.716652,1161.52852
2010,BOLONTIKU,2P,647.491103,1306.139676
2010,BOLONTIKU,3P,823.649378,1693.864582
2010,BONANZA,1P,0.0,12.838016
2010,BONANZA,2P,0.0,22.466528
2010,BONANZA,3P,0.0,37.230246
2010,BRASIL,1P,0.0,553.137614
2010,BRASIL,2P,0.0,553.137614
2010,BRASIL,3P,0.0,553.137614
2010,BRICOL,1P,40.411655,48.328542
2010,BRICOL,2P,109.657724,131.140334
2010,BRICOL,3P,278.477472,333.03289
2010,BUENA SUERTE,1P,0.0,138.246381
2010,BUENA SUERTE,2P,0.0,138.246381
2010,BUENA SUERTE,3P,0.0,138.246381
2010,BUGAMBILIA,1P,0.557473,0.719895
2010,BUGAMBILIA,2P,0.557473,0.719895
2010,BUGAMBILIA,3P,2.080716,2.686941
2010,CAAN,1P,1563.980038,2492.905981
2010,CAAN,2P,1563.980038,2492.905981
2010,CAAN,3P,1563.980038,2492.905981
2010,CABALLERO,1P,0.0,1.911562
2010,CABALLERO,2P,0.0,1.911562
2010,CABALLERO,3P,0.0,1.911562
2010,CABELLAL,1P,0.247217,0.204039
2010,CABELLAL,2P,0.247217,0.204039
2010,CABELLAL,3P,0.247217,0.204039
2010,CABEZA,1P,0.0,45.775104
2010,CABEZA,2P,0.0,55.634501
2010,CABEZA,3P,0.0,91.550208
2010,CABO NUEVO,1P,26.781307,4.661341
2010,CABO NUEVO,2P,26.781307,4.661341
2010,CABO NUEVO,3P,26.781307,4.661341
2010,CABO ROJO,1P,0.294509,0.158129
2010,CABO ROJO,2P,0.294509,0.158129
2010,CABO ROJO,3P,0.294509,0.158129
2010,CACAHUATENGO,1P,123.193999,64.923238
2010,CACAHUATENGO,2P,1904.727763,1003.791531
2010,CACAHUATENGO,3P,2392.85493,1261.034548
2010,CACAHUATENGO PR,1P,1.917223,1.072485
2010,CACAHUATENGO PR,2P,1.917223,1.072485
2010,CACAHUATENGO PR,3P,1.917223,1.072485
2010,CACALILAO,1P,3216.48356,9746.032887
2010,CACALILAO,2P,3216.48356,9746.032887
2010,CACALILAO,3P,3216.48356,9746.032887
2010,CACHAS,1P,0.0,0.720657
2010,CACHAS,2P,0.0,0.720657
2010,CACHAS,3P,0.0,0.720657
2010,CACHO LOPEZ,1P,8.323588,49.86461
2010,CACHO LOPEZ,2P,9.288119,51.40801
