CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
ABKATUN,1P,2010,5434.974429,3879.342787
ABKATUN,1P,2011,5434.974429,3879.342787
ABKATUN,1P,2012,5434.974429,3879.342787
ABKATUN,1P,2013,5434.974429,3879.342787
ABKATUN,1P,2014,5434.974429,3879.342787
ABKATUN,1P,2015,5434.974429,3879.342787
ABKATUN,1P,2016,5434.974429,3879.335097
ABKATUN,1P,2017,5434.974429,3879.335097
ABKATUN,1P,2018,5391.25627,3847.72686
ABKATUN,1P,2019,5228.370595,3304.33781
ABKATUN,1P,2020,5228.370595,3304.33781
ABKATUN,1P,2021,5228.322179,3304.307212
ABKATUN,1P,2022,5228.577322,3304.468462
ABKATUN,1P,2023,5228.748869,3304.57688
ABKATUN,1P,2024,5228.74887,3304.576881
ABKATUN,2P,2010,5445.607921,3885.136658
ABKATUN,2P,2011,5445.607921,3885.136658
ABKATUN,2P,2012,5445.607921,3885.136658
ABKATUN,2P,2013,5445.607921,3885.136658
ABKATUN,2P,2014,5445.607921,3885.136658
ABKATUN,2P,2015,5445.607921,3885.136658
ABKATUN,2P,2016,5445.607921,3885.128956
ABKATUN,2P,2017,5445.607921,3885.128956
ABKATUN,2P,2018,5401.889762,3853.520719
ABKATUN,2P,2019,5239.004087,3310.131669
ABKATUN,2P,2020,5239.004087,3310.131669
ABKATUN,2P,2021,5238.955573,3310.101018
ABKATUN,2P,2022,5228.577322,3304.468462
ABKATUN,2P,2023,5228.748869,3304.57688
ABKATUN,2P,2024,5228.74887,3304.576881
ABKATUN,3P,2010,5445.607921,3885.136658
ABKATUN,3P,2011,5445.607921,3885.136658
ABKATUN,3P,2012,5445.607921,3885.136658
ABKATUN,3P,2013,5445.607921,3885.136658
ABKATUN,3P,2014,5445.607921,3885.136658
ABKATUN,3P,2015,5445.607921,3885.136658
ABKATUN,3P,2016,5445.607921,3885.128956
ABKATUN,3P,2017,5445.607921,3885.128956
ABKATUN,3P,2018,5401.889762,3853.520719
ABKATUN,3P,2019,5239.004087,3310.131669
