CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
ABKATUN,3P,2025,5228.6595646352525,3304.574831005387
ABKATUN,3P,2026,5228.67150469933,3304.5748753233825
ACUATEMPA,3P,2025,101.72982189133,79.18797384708779
ACUATEMPA,3P,2026,101.72982165738556,79.18797368515787
AGAVE,3P,2025,254.54976700131115,2299.1250069978355
AGAVE,3P,2026,254.5497670016797,2299.125006997826
AGUA FRIA,3P,2025,604.1191415137052,554.1191985632526
AGUA FRIA,3P,2026,1001.2486256301764,771.2365687196249
AGUA NACIDA,3P,2025,921.9245482958218,524.2306696774673
AGUA NACIDA,3P,2026,1066.565720819585,518.7606300806334
AGUACATE,3P,2025,53.796808,14.95864
AGUACATE,3P,2026,53.796808,14.95864
AHUATEPEC,3P,2025,-545.0550002571318,718.4009748018665
AHUATEPEC,3P,2026,-272.544877021666,716.4347007030984
AKAL,3P,2025,30811.440161640363,14795.482760527264
AKAL,3P,2026,30816.842045672696,14795.486625616568
ALAK,3P,2025,260.58603247743093,87.78475421073948
ALAK,3P,2026,260.58603248481506,87.78475421067641
ALAMO SAN ISIDRO,3P,2025,-6.802879004005007,-0.2830475628226097
ALAMO SAN ISIDRO,3P,2026,-0.38736203582424356,-0.11427077202757405
ALAZAN,3P,2025,66.31767614005958,39.468603519074186
ALAZAN,3P,2026,66.31767598954526,39.46860343123426
ALTAMIRA,3P,2025,105.6696385586755,101.56438393185668
ALTAMIRA,3P,2026,89.42354912023248,85.55572860596902
ALUX,3P,2025,103.93947654930702,34.422657634907054
ALUX,3P,2026,103.9943850785457,34.423016808092875
AMATITLAN,3P,2025,-144.16976848167405,259.5534779258992
AMATITLAN,3P,2026,81.46281895274782,416.26887400412966
AMOCA,3P,2025,1258.05114232265,544.7576618216208
AMOCA,3P,2026,1258.2712472664502,544.9115017871115
ANGOSTURA,3P,2025,307.2248859467047,64.91615639652458
ANGOSTURA,3P,2026,307.17824406256403,64.91883717006985
ANHELIDO,3P,2024,183.94365800644078,115.88378070528296
ANHELIDO,3P,2025,183.94365800655598,115.88378766842017
ARAGON,3P,2025,-399.3290698201446,125.593219855831
ARAGON,3P,2026,-198.80290614471906,166.53081051261898
ARENQUE,3P,2025,1310.9941012135473,1466.7136287425226
ARENQUE,3P,2026,1310.9940963407034,1466.7136227209983
ARROYO PRIETO,3P,2025,24.794918000539216,67.90422688798202
ARROYO PRIETO,3P,2026,24.794918000568927,67.92936292316405
ARROYO ZANAPA,3P,2025,64.38220855964808,175.03450377855017
ARROYO ZANAPA,3P,2026,64.382208547113,175.03550096378626
ARTESA,3P,2025,194.3592944615052,333.7753265877354
ARTESA,3P,2026,195.39681535537875,333.8311000115491
ATUN,3P,2025,309.4584148254799,840.4198886209213
ATUN,3P,2026,309.4584145250538,840.4198883990255
AYAPA,3P,2025,27.644113,13.3465470989335
AYAPA,3P,2026,27.644113,13.346547014447916
AYATSIL,3P,2025,4469.191613448762,523.3187755994522
AYATSIL,3P,2026,4476.928802016563,521.8024001192048
AYIN,3P,2025,732.8065189178974,213.2291508547767
AYIN,3P,2026,732.8057944787118,213.22914923123665
AYOCOTE,3P,2025,53.217799052057956,54.56463904198974
AYOCOTE,3P,2026,53.21780049873241,53.90570811758105
BACAB,3P,2025,777.5055463591411,243.12763347464244
BACAB,3P,2026,777.5072060475488,243.5827346040409
BACAL,3P,2025,230.2249025675627,291.8554425796594
BACAL,3P,2026,230.22490256771277,291.8549739944737
BAGRE,3P,2025,216.70469653575822,344.9391019607941
BAGRE,3P,2026,216.70469582572198,344.9391020558902
BAKSHA,3P,2025,449.58270429116203,61.87144582644318
BAKSHA,3P,2026,449.58261038669013,61.87143356375828
BALAM,3P,2025,1052.209508702128,320.4143292989315
BALAM,3P,2026,1060.2633217160162,320.2434371258031
BARCODON,3P,2025,213.32082490537402,45.982424242173366
BARCODON,3P,2026,213.32078539377724,45.982335787102045
BATAB,3P,2025,342.25211693130393,287.48537973891547
