FECHA,CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
1/1/2010,Abkatún,ABKATUN,Aguas someras,Cuencas del Sureste,1P,5434.974429,3879.342787,15.314723,11.559882,19.102185,0.282806,1.227405,11.674163
1/1/2010,Abkatún,ABKATUN,Aguas someras,Cuencas del Sureste,2P,5445.607921,3885.136658,30.704171,22.216728,43.178578,0.639254,2.774426,26.388278
1/1/2010,Abkatún,ABKATUN,Aguas someras,Cuencas del Sureste,3P,5445.607921,3885.136658,30.704171,22.216728,43.178578,0.639254,2.774426,26.388278
1/1/2010,Acachú,ACACHU,Terrestre,Cuencas del Sureste,1P,0,27.603686,1.394857,0,9.012503,0,0,7.254555
1/1/2010,Acachú,ACACHU,Terrestre,Cuencas del Sureste,2P,0,27.603686,1.394857,0,9.012503,0,0,7.254555
1/1/2010,Acachú,ACACHU,Terrestre,Cuencas del Sureste,3P,0,27.603686,1.394857,0,9.012503,0,0,7.254555
1/1/2010,Acagual,ACAGUAL,Terrestre,Veracruz,1P,0,12.392154,0.397528,0,1.819145,0.0111,0.076907,1.609799
1/1/2010,Acagual,ACAGUAL,Terrestre,Veracruz,2P,0,12.392154,0.397528,0,1.819145,0.0111,0.076907,1.609799
1/1/2010,Acagual,ACAGUAL,Terrestre,Veracruz,3P,0,12.392154,0.397528,0,1.819145,0.0111,0.076907,1.609799
1/1/2010,Acahual,ACAHUAL,Terrestre,Cuencas del Sureste,1P,0,6.354053,0.019891,0,0.103453,0,0,0.103453
1/1/2010,Acahual,ACAHUAL,Terrestre,Cuencas del Sureste,2P,0,6.354053,0.019891,0,0.103453,0,0,0.103453
1/1/2010,Acahual,ACAHUAL,Terrestre,Cuencas del Sureste,3P,0,6.354053,0.019891,0,0.103453,0,0,0.103453
1/1/2010,Acuatempa,ACUATEMPA,Terrestre,Tampico-Misantla,1P,101.725835,74.853077,0.841265,0.786285,0.375189,0,0.020736,0.178102
1/1/2010,Acuatempa,ACUATEMPA,Terrestre,Tampico-Misantla,2P,101.725835,74.853077,1.601421,1.490314,0.758205,0,0.041904,0.35992
1/1/2010,Acuatempa,ACUATEMPA,Terrestre,Tampico-Misantla,3P,101.725835,79.184948,3.163342,2.559259,4.122317,0,0.22783,1.956865
1/1/2010,Acuyo,ACUYO,Terrestre,Cuencas del Sureste,1P,1.490815,51.048468,0,0,0,0,0,0
1/1/2010,Acuyo,ACUYO,Terrestre,Cuencas del Sureste,2P,10.863868,51.048468,0,0,0,0,0,0
1/1/2010,Acuyo,ACUYO,Terrestre,Cuencas del Sureste,3P,10.863868,51.048468,0,0,0,0,0,0
1/1/2010,Adolfo López Mateos,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,1P,1.192004,0.200778,0,0,0,0,0,0
1/1/2010,Adolfo López Mateos,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,2P,1.192004,0.200778,0,0,0,0,0,0
1/1/2010,Adolfo López Mateos,ADOLFO LOPEZ MATEOS,Terrestre,Veracruz,3P,1.192004,0.200778,0,0,0,0,0,0
1/1/2010,Agamí,AGAMI,Terrestre,Burgos,1P,0,1.037794,0.175085,0,0.804791,0.00676,0.021404,0.764123
1/1/2010,Agamí,AGAMI,Terrestre,Burgos,2P,0,1.037794,0.175085,0,0.804791,0.00676,0.021404,0.764123
1/1/2010,Agamí,AGAMI,Terrestre,Burgos,3P,0,1.037794,0.175085,0,0.804791,0.00676,0.021404,0.764123
1/1/2010,Ágata,AGATA,Terrestre,Cuencas del Sureste,1P,31.99943,49.748002,0,0,0,0,0,0
1/1/2010,Ágata,AGATA,Terrestre,Cuencas del Sureste,2P,31.99943,49.748002,0,0,0,0,0,0
1/1/2010,Ágata,AGATA,Terrestre,Cuencas del Sureste,3P,31.99943,49.748002,0,0,0,0,0,0
1/1/2010,Agave,AGAVE,Terrestre,Cuencas del Sureste,1P,254.531655,2298.958885,2.006119,1.074938,4.06595,0.024527,0.359566,2.845369
1/1/2010,Agave,AGAVE,Terrestre,Cuencas del Sureste,2P,258.025212,2301.816201,2.885857,1.455457,6.245761,0.037676,0.552334,4.37081
1/1/2010,Agave,AGAVE,Terrestre,Cuencas del Sureste,3P,258.025212,2301.816201,2.885857,1.455457,6.245761,0.037676,0.552334,4.37081
1/1/2010,Agua Blanca,AGUA BLANCA,Terrestre,Burgos,1P,0,0.003598,0,0,0,0,0,0
1/1/2010,Agua Blanca,AGUA BLANCA,Terrestre,Burgos,2P,0,0.003598,0,0,0,0,0,0
1/1/2010,Agua Blanca,AGUA BLANCA,Terrestre,Burgos,3P,0,0.003598,0,0,0,0,0,0
1/1/2010,Agua Fría,AGUA FRIA,Terrestre,Tampico-Misantla,1P,2565.844277,769.753283,38.984769,28.663095,47.303828,0,3.102383,37.547036
1/1/2010,Agua Fría,AGUA FRIA,Terrestre,Tampico-Misantla,2P,5099.308802,1529.79264,331.076459,220.98644,504.538213,0,33.089724,400.473173
1/1/2010,Agua Fría,AGUA FRIA,Terrestre,Tampico-Misantla,3P,5373.876513,1612.162953,363.519196,241.161561,560.760214,0,36.776998,445.098937
1/1/2010,Agua Nacida,AGUA NACIDA,Terrestre,Tampico-Misantla,1P,47.351543,23.675772,2.613458,1.890868,3.3116,0,0.217189,2.628556
1/1/2010,Agua Nacida,AGUA NACIDA,Terrestre,Tampico-Misantla,2P,1713.107396,856.553698,216.211814,142.519768,337.727736,0,22.149596,268.06869
1/1/2010,Agua Nacida,AGUA NACIDA,Terrestre,Tampico-Misantla,3P,2786.294179,1393.147089,314.883848,203.880807,508.722552,0,33.36415,403.794458
1/1/2010,Aguacate,AGUACATE,Terrestre,Tampico-Misantla,1P,30.862409,11.609729,4.904442,4.904442,1.490616,0,0,0
1/1/2010,Aguacate,AGUACATE,Terrestre,Tampico-Misantla,2P,30.862409,11.609729,4.904442,4.904442,1.490616,0,0,0
1/1/2010,Aguacate,AGUACATE,Terrestre,Tampico-Misantla,3P,30.862409,11.609729,4.904442,4.904442,1.490616,0,0,0
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,1P,65.05738,19.517214,3.657826,2.77324,4.769973,0,0.274136,3.174909
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,2P,2554.049469,766.214841,278.670787,193.622291,458.609016,0,26.356766,305.251597
1/1/2010,Ahuatepec,AHUATEPEC,Terrestre,Tampico-Misantla,3P,4232.374642,1269.712393,380.292393,260.620091,645.311783,0,37.08678,429.521544
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,1P,30556.26775,14724.90518,2282.951595,1994.399116,1216.444217,89.307387,67.787039,683.704162
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,2P,30556.26775,14724.90518,3312.074635,2940.984742,1564.395343,114.85283,87.176811,879.270576
1/1/2010,Akal,AKAL,Aguas someras,Cuencas del Sureste,3P,30556.26775,14724.90518,4835.977919,4343.465668,2076.272859,152.433216,115.701474,1166.972045
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,1P,0,40.859604,6.368376,0,33.121478,0,0,33.121478
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,2P,0,126.494198,20.471825,0,106.472531,0,0,106.472531
1/1/2010,Akpul,AKPUL,Aguas someras,Cuencas del Sureste,3P,0,273.037383,44.802576,0,233.015068,0,0,233.015068
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,1P,0,0,0,0,0,0,0,0
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,2P,260.567208,87.778563,41.318505,39.099281,13.139759,0.671064,0.526714,5.312467
1/1/2010,Alak,ALAK,Aguas someras,Cuencas del Sureste,3P,260.567208,87.778563,50.265139,47.536832,16.153981,0.825004,0.647541,6.531131
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,1P,0,0,0,0,0,0,0,0
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,2P,0,0,0,0,0,0,0,0
1/1/2010,Alameda,ALAMEDA,Terrestre,Cuencas del Sureste,3P,21.807417,21.146486,4.040487,2.21798,9.710193,0,0.076894,9.078806
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,1P,173.496299,81.050032,0.798423,0.781098,0.11823,0,0.006534,0.056124
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,2P,173.496299,81.050032,0.798423,0.781098,0.11823,0,0.006534,0.056124
1/1/2010,Álamo San Isidro,ALAMO SAN ISIDRO,Terrestre,Tampico-Misantla,3P,175.738307,82.913047,2.082421,1.89312,1.291804,0,0.071395,0.61322
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,1P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,2P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alazán,ALAZAN,Terrestre,Tampico-Misantla,3P,66.315097,39.467147,0.548917,0.548917,0.273296,0,0,0
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,1P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,2P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Alcaraván,ALCARAVAN,Terrestre,Burgos,3P,0,0.238332,1.00E-06,0,3.00E-06,0,0,3.00E-06
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,1P,0,1.995571,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,2P,0,1.995571,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Algodonero,ALGODONERO,Terrestre,Burgos,3P,0,52.487189,0.050419,0,0.296493,0,0,0.262226
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,1P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,2P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Aljibe,ALJIBE,Terrestre,Burgos,3P,0,5.081809,0,0,1.00E-06,0,0,1.00E-06
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,1P,0,31.360319,0.605195,0,3.91031,0,0,3.147579
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,2P,0,40.121675,1.39836,0,9.035137,0,0,7.272775
1/1/2010,Almendro,ALMENDRO,Terrestre,Cuencas del Sureste,3P,0,40.121675,1.39836,0,9.035137,0,0,7.272775
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,1P,0,208.78103,3.554041,0,20.8998,0,0,18.484319
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,2P,0,215.786887,3.987125,0,23.446583,0,0,20.736759
1/1/2010,Alondra,ALONDRA,Terrestre,Burgos,3P,0,249.518792,7.879221,0,46.33434,0,0,40.979278
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,1P,103.192476,103.192476,1.019634,1.019634,0.120906,0,0,0
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,2P,103.192476,103.192476,4.071545,4.071545,0.462502,0,0,0
1/1/2010,Altamira,ALTAMIRA,Terrestre,Tampico-Misantla,3P,103.192476,103.192476,4.071545,4.071545,0.462502,0,0,0
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,1P,172.012379,56.936097,36.562353,34.318,11.353884,2.10E-05,0.793398,7.546206
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,2P,245.939749,81.406056,65.497243,61.477,20.337878,3.80E-05,1.42119,13.517297
1/1/2010,Alux,ALUX,Aguas someras,Cuencas del Sureste,3P,263.193141,87.116929,92.530209,86.850982,28.730461,5.40E-05,2.007655,19.095315
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,1P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,2P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatista,AMATISTA,Terrestre,Burgos,3P,0,1.232264,3.00E-06,0,1.40E-05,0,0,1.30E-05
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,1P,230.498489,115.249244,6.84238,5.092382,8.737103,0,0.542329,6.281001
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,2P,3184.23589,1592.117945,564.250487,401.147581,814.313373,0,50.546044,585.400385
1/1/2010,Amatitlán,AMATITLAN,Terrestre,Tampico-Misantla,3P,5509.87858,2754.93929,866.106728,601.404185,1321.563335,0,82.032054,950.056466
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,1P,0,5.861026,0.675165,0,3.103442,0.026068,0.08254,2.94662
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,2P,0,5.861026,0.675165,0,3.103442,0.026068,0.08254,2.94662
1/1/2010,Ambos,AMBOS,Terrestre,Burgos,3P,0,14.441676,1.383202,0,6.357984,0.053406,0.169099,6.036704
